timestamp,switch_dpid,port_no,tx_bytes,rx_bytes,tx_rate_mbps,rx_rate_mbps,predicted_tx_mbps,predicted_rx_mbps
2026-05-21 22:23:53,1,4294967294,0,0,0.00,0.00,0.00,0.00
2026-05-21 22:23:53,1,1,2586,1164,0.01,0.00,0.00,0.00
2026-05-21 22:23:53,1,2,2558,1122,0.01,0.00,0.00,0.00
2026-05-21 22:23:53,1,3,3838,3724,0.01,0.01,0.00,0.00
2026-05-21 22:23:53,2,4294967294,0,0,0.00,0.00,0.00,0.00
2026-05-21 22:23:53,2,1,3724,3838,0.01,0.01,0.00,0.00
2026-05-21 22:23:53,2,2,2824,1080,0.01,0.00,0.00,0.00
2026-05-21 22:23:53,2,3,2857,982,0.01,0.00,0.00,0.00
2026-05-21 22:23:55,1,4294967294,0,0,0.00,0.00,0.00,0.00
2026-05-21 22:23:55,1,1,3052,1402,0.00,0.00,0.00,0.00
2026-05-21 22:23:55,1,2,3052,1206,0.00,0.00,0.00,0.00
2026-05-21 22:23:55,1,3,4584,4260,0.00,0.00,0.00,0.00
2026-05-21 22:23:55,2,4294967294,0,0,0.00,0.00,0.00,0.00
2026-05-21 22:23:55,2,1,4260,4584,0.00,0.00,0.00,0.00
2026-05-21 22:23:55,2,2,3570,1122,0.00,0.00,0.00,0.00
2026-05-21 22:23:55,2,3,3340,1234,0.00,0.00,0.00,0.00
2026-05-21 22:23:57,1,4294967294,0,0,0.00,0.00,0.00,0.00
2026-05-21 22:23:57,1,1,3343,1444,0.00,0.00,0.00,0.00
2026-05-21 22:23:57,1,2,3315,1402,0.00,0.00,0.00,0.00
2026-05-21 22:23:57,1,3,5113,4663,0.00,0.00,0.00,0.00
2026-05-21 22:23:57,2,4294967294,0,0,0.00,0.00,0.00,0.00
2026-05-21 22:23:57,2,1,4663,5113,0.00,0.00,0.00,0.00
2026-05-21 22:23:57,2,2,3917,1374,0.00,0.00,0.00,0.00
2026-05-21 22:23:57,2,3,3729,1318,0.00,0.00,0.00,0.00
2026-05-21 22:23:59,1,4294967294,0,0,0.00,0.00,0.00,0.00
2026-05-21 22:23:59,1,1,3672,1444,0.00,0.00,0.00,0.00
2026-05-21 22:23:59,1,2,3602,1542,0.00,0.00,0.00,0.00
2026-05-21 22:23:59,1,3,5358,4992,0.00,0.00,0.00,0.00
2026-05-21 22:23:59,2,4294967294,0,0,0.00,0.00,0.00,0.00
2026-05-21 22:23:59,2,1,4992,5358,0.00,0.00,0.00,0.00
2026-05-21 22:23:59,2,2,4162,1500,0.00,0.00,0.00,0.00
2026-05-21 22:23:59,2,3,3974,1360,0.00,0.00,0.00,0.00
2026-05-21 22:24:01,1,4294967294,0,0,0.00,0.00,0.00,0.00
2026-05-21 22:24:01,1,1,3798,1444,0.00,0.00,0.00,0.00
2026-05-21 22:24:01,1,2,3728,1542,0.00,0.00,0.00,0.00
2026-05-21 22:24:01,1,3,5358,5118,0.00,0.00,0.00,0.00
2026-05-21 22:24:01,2,4294967294,0,0,0.00,0.00,0.00,0.00
2026-05-21 22:24:01,2,1,5118,5358,0.00,0.00,0.00,0.00
2026-05-21 22:24:01,2,2,4162,1542,0.00,0.00,0.00,0.00
2026-05-21 22:24:01,2,3,3974,1528,0.00,0.00,0.00,0.00
2026-05-21 22:24:03,1,4294967294,0,0,0.00,0.00,0.00,0.00
2026-05-21 22:24:03,1,1,3798,1514,0.00,0.00,0.00,0.00
2026-05-21 22:24:03,1,2,3798,1542,0.00,0.00,0.00,0.00
2026-05-21 22:24:03,1,3,5498,5188,0.00,0.00,0.00,0.00
2026-05-21 22:24:03,2,4294967294,0,0,0.00,0.00,0.00,0.00
2026-05-21 22:24:03,2,1,5188,5498,0.00,0.00,0.00,0.00
2026-05-21 22:24:03,2,2,4232,1626,0.00,0.00,0.00,0.00
2026-05-21 22:24:03,2,3,4044,1640,0.00,0.00,0.00,0.00
2026-05-21 22:24:05,1,4294967294,0,0,0.00,0.00,0.00,0.00
2026-05-21 22:24:05,1,1,3868,1514,0.00,0.00,0.00,0.00
2026-05-21 22:24:05,1,2,3798,1696,0.00,0.00,0.00,0.00
