timestamp,pattern,elapsed_s,rate_mbps,source_ip,target_ip,target_port
2026-05-22 18:32:56,sine,0.0,5.00,10.0.0.1,10.0.0.2,5301
2026-05-22 18:33:34,sine,0.0,5.00,10.0.0.1,10.0.0.2,5301
2026-05-22 18:52:32,sine,0.0,5.00,10.0.0.1,10.0.0.2,5301
2026-05-22 18:54:29,sine,0.0,5.00,10.0.0.1,10.0.0.3,5201
2026-05-22 18:54:34,sine,5.0,8.47,10.0.0.1,10.0.0.3,5201
2026-05-22 18:54:39,sine,10.0,8.46,10.0.0.1,10.0.0.3,5201
2026-05-22 18:54:44,sine,15.0,4.99,10.0.0.1,10.0.0.3,5201
2026-05-22 18:54:49,sine,20.0,1.53,10.0.0.1,10.0.0.3,5201
2026-05-22 18:54:54,sine,25.0,1.54,10.0.0.1,10.0.0.3,5201
2026-05-22 18:56:51,sine,0.0,5.00,10.0.0.1,10.0.0.2,5301
2026-05-22 18:59:27,sine,0.0,5.00,10.0.0.1,10.0.0.2,5301
2026-05-22 20:24:47,sine,0.0,5.00,10.0.0.1,10.0.0.2,5301
2026-05-22 20:29:54,sine,0.0,5.00,10.0.0.1,10.0.0.2,5301
2026-05-22 20:31:09,sine,0.0,5.00,10.0.0.1,10.0.0.2,5301
2026-05-22 20:37:56,sine,0.0,5.00,10.0.0.1,10.0.0.2,5301
2026-05-22 20:43:32,sine,0.0,5.00,10.0.0.1,10.0.0.2,5301
2026-05-22 20:49:35,sine,0.0,5.00,10.0.0.1,10.0.0.2,5301
2026-05-22 21:05:53,sine,0.0,5.00,10.0.0.1,10.0.0.2,5301
2026-05-22 21:12:12,sine,0.0,5.00,10.0.0.1,10.0.0.2,5301
2026-05-22 21:16:36,sine,0.0,5.00,10.0.0.1,10.0.0.2,5301
2026-05-22 21:27:05,sine,0.0,5.00,10.0.0.1,10.0.0.2,5301
2026-05-22 22:54:41,sine,0.0,5.00,10.0.0.1,10.0.0.2,5301
2026-05-22 23:56:59,sine,0.0,5.00,10.0.0.1,10.0.0.2,5301
